x_m,y_m,p_m,u_m
0,0,0,0
4,0,0,0
1,1,0,0
3,1,0,0
2,2,0,0.00E+00
1,3,0,0.00E+00
3,3,0,0.00E+00
0,4,0,0
4,4,0,0
0,0,0.0001,0
4,0,0.0001,0
1,1,0.0001,2.44E-06
3,1,0.0001,2.44E-06
2,2,0.0001,4.87E-06
1,3,0.0001,2.44E-06
3,3,0.0001,2.44E-06
0,4,0.0001,0
4,4,0.0001,0
0,0,0.00025,0
4,0,0.00025,0
1,1,0.00025,6.10E-06
3,1,0.00025,6.10E-06
2,2,0.00025,1.22E-05
1,3,0.00025,6.10E-06
3,3,0.00025,6.10E-06
0,4,0.00025,0
4,4,0.00025,0
0,0,0.0005,0
4,0,0.0005,0
1,1,0.0005,1.22E-05
3,1,0.0005,1.22E-05
2,2,0.0005,2.43E-05
1,3,0.0005,1.22E-05
3,3,0.0005,1.22E-05
0,4,0.0005,0
4,4,0.0005,0
0,0,0.001,0
4,0,0.001,0
1,1,0.001,2.44E-05
3,1,0.001,2.44E-05
2,2,0.001,4.87E-05
1,3,0.001,2.44E-05
3,3,0.001,2.44E-05
0,4,0.001,0
4,4,0.001,0
0,0,0.002,0
4,0,0.002,0
1,1,0.002,4.87E-05
3,1,0.002,4.87E-05
2,2,0.002,9.73E-05
1,3,0.002,4.87E-05
3,3,0.002,4.87E-05
0,4,0.002,0
4,4,0.002,0
0,0,0.003,0
4,0,0.003,0
1,1,0.003,0.000073004
3,1,0.003,0.000073004
2,2,0.003,0.000146008
1,3,0.003,0.000073004
3,3,0.003,0.000073004
0,4,0.003,0
4,4,0.003,0
0,0,0.004,0
4,0,0.004,0
1,1,0.004,9.73E-05
3,1,0.004,9.73E-05
2,2,0.004,0.000194677
1,3,0.004,9.73E-05
3,3,0.004,9.73E-05
0,4,0.004,0
4,4,0.004,0
0,0,0.005,0
4,0,0.005,0
1,1,0.005,0.000121674
3,1,0.005,0.000121674
2,2,0.005,0.000243347
1,3,0.005,0.000121674
3,3,0.005,0.000121674
0,4,0.005,0
4,4,0.005,0
0,0,0.006,0
4,0,0.006,0
1,1,0.006,0.000146005
3,1,0.006,0.000146005
2,2,0.006,0.00029201
1,3,0.006,0.000146005
3,3,0.006,0.000146005
0,4,0.006,0
4,4,0.006,0
0,0,0.007,0
4,0,0.007,0
1,1,0.007,0.00017034
3,1,0.007,0.00017034
2,2,0.007,0.00034068
1,3,0.007,0.00017034
3,3,0.007,0.00017034
0,4,0.007,0
4,4,0.007,0
0,0,0.008,0
4,0,0.008,0
1,1,0.008,0.000194678
3,1,0.008,0.000194678
2,2,0.008,0.000389355
1,3,0.008,0.000194678
3,3,0.008,0.000194678
0,4,0.008,0
4,4,0.008,0
0,0,0.00948,0
4,0,0.00948,0
1,1,0.00948,0.00024035
3,1,0.00948,0.00024035
2,2,0.00948,0.00045886
1,3,0.00948,0.00024035
3,3,0.00948,0.00024035
0,4,0.00948,0
4,4,0.00948,0
0,0,0.01,0
4,0,0.01,0
1,1,0.01,0.000245
3,1,0.01,0.000245
2,2,0.01,0.00049
1,3,0.01,0.000245
3,3,0.01,0.000245
0,4,0.01,0
4,4,0.01,0
0,0,0.011,0
4,0,0.011,0
1,1,0.011,0.0002677
3,1,0.011,0.0002677
2,2,0.011,0.0005354
1,3,0.011,0.0002677
3,3,0.011,0.0002677
0,4,0.011,0
4,4,0.011,0
0,0,0.012,0
4,0,0.012,0
1,1,0.012,0.000292
3,1,0.012,0.000292
2,2,0.012,0.000584
1,3,0.012,0.000292
3,3,0.012,0.000292
0,4,0.012,0
4,4,0.012,0
0,0,0.013,0
4,0,0.013,0
1,1,0.013,0.00031635
3,1,0.013,0.00031635
2,2,0.013,0.0006327
1,3,0.013,0.00031635
3,3,0.013,0.00031635
0,4,0.013,0
4,4,0.013,0
0,0,0.014,0
4,0,0.014,0
1,1,0.014,0.000340686
3,1,0.014,0.000340686
2,2,0.014,0.000681372
1,3,0.014,0.000340686
3,3,0.014,0.000340686
0,4,0.014,0
4,4,0.014,0
0,0,0.015,0
4,0,0.015,0
1,1,0.015,0.00049
3,1,0.015,0.00049
2,1,0.015,0.00063
2,3,0.015,0.00064
2,2,0.015,0.00073
1,2,0.015,0.00064
3,2,0.015,0.00063
1,3,0.015,0.00049
3,3,0.015,0.00049
0,4,0.015,0
4,4,0.015,0
0,0,0.016,0
4,0,0.016,0
1,1,0.016,0.000389355
3,1,0.016,0.000389355
2,2,0.016,0.00077871
1,3,0.016,0.000389355
3,3,0.016,0.000389355
0,4,0.016,0
4,4,0.016,0
0,0,0.017,0
4,0,0.017,0
1,1,0.017,0.0004135
3,1,0.017,0.0004135
2,2,0.017,0.000827
1,3,0.017,0.0004135
3,3,0.017,0.0004135
0,4,0.017,0
4,4,0.017,0
0,0,0.018,0
4,0,0.018,0
1,1,0.018,0.000438025
3,1,0.018,0.000438025
2,2,0.018,0.000876049
1,3,0.018,0.000438025
3,3,0.018,0.000438025
0,4,0.018,0
4,4,0.018,0
0,0,0.01896,0
4,0,0.01896,0
1,1,0.01896,0.0004615
3,1,0.01896,0.0004615
2,2,0.01896,0.000923
1,3,0.01896,0.0004615
3,3,0.01896,0.0004615
0,4,0.01896,0
4,4,0.01896,0
0,0,0.02,0
4,0,0.02,0
1,1,0.02,0.000486694
3,1,0.02,0.000486694
2,2,0.02,0.000973388
1,3,0.02,0.000486694
3,3,0.02,0.000486694
0,4,0.02,0
4,4,0.02,0
0,0,0.021,0
4,0,0.021,0
1,1,0.021,0.000511029
3,1,0.021,0.000511029
2,2,0.021,0.001022057
1,3,0.021,0.000511029
3,3,0.021,0.000511029
0,4,0.021,0
4,4,0.021,0
0,0,0.022,0
4,0,0.022,0
1,1,0.022,0.000535364
3,1,0.022,0.000535364
2,2,0.022,0.001070727
1,3,0.022,0.000535364
3,3,0.022,0.000535364
0,4,0.022,0
4,4,0.022,0
0,0,0.023,0
4,0,0.023,0
1,1,0.023,0.000559698
3,1,0.023,0.000559698
2,2,0.023,0.001119396
1,3,0.023,0.000559698
3,3,0.023,0.000559698
0,4,0.023,0
4,4,0.023,0
0,0,0.024,0
4,0,0.024,0
1,1,0.024,0.000584033
3,1,0.024,0.000584033
2,2,0.024,0.001168066
1,3,0.024,0.000584033
3,3,0.024,0.000584033
0,4,0.024,0
4,4,0.024,0
0,0,0.025,0
4,0,0.025,0
1,1,0.025,0.000608368
3,1,0.025,0.000608368
2,2,0.025,0.001216735
1,3,0.025,0.000608368
3,3,0.025,0.000608368
0,4,0.025,0
4,4,0.025,0
0,0,0.026,0
4,0,0.026,0
1,1,0.026,0.0006327
3,1,0.026,0.0006327
2,2,0.026,0.0012654
1,3,0.026,0.0006327
3,3,0.026,0.0006327
0,4,0.026,0
4,4,0.026,0
0,0,0.027,0
4,0,0.027,0
1,1,0.027,0.000657037
3,1,0.027,0.000657037
2,2,0.027,0.001314074
1,3,0.027,0.000657037
3,3,0.027,0.000657037
0,4,0.027,0
4,4,0.027,0
0,0,0.028,0
4,0,0.028,0
1,1,0.028,0.000681372
3,1,0.028,0.000681372
2,2,0.028,0.001362743
1,3,0.028,0.000681372
3,3,0.028,0.000681372
0,4,0.028,0
4,4,0.028,0
0,0,0.029,0
4,0,0.029,0
1,1,0.029,0.000705707
3,1,0.029,0.000705707
2,2,0.029,0.001411413
1,3,0.029,0.000705707
3,3,0.029,0.000705707
0,4,0.029,0
4,4,0.029,0
0,0,0.03,0
4,0,0.03,0
1,1,0.03,0.000730041
3,1,0.03,0.000730041
2,2,0.03,0.001460082
1,3,0.03,0.000730041
3,3,0.03,0.000730041
0,4,0.03,0
4,4,0.03,0
0,0,0.033,0
4,0,0.033,0
1,1,0.033,0.000803045
3,1,0.033,0.000803045
2,2,0.033,0.00160609
1,3,0.033,0.000803045
3,3,0.033,0.000803045
0,4,0.033,0
4,4,0.033,0
0,0,0.0379,0
4,0,0.0379,0
1,1,0.0379,0.0009225
3,1,0.0379,0.0009225
2,2,0.0379,0.001845
1,3,0.0379,0.0009225
3,3,0.0379,0.0009225
0,4,0.0379,0
4,4,0.0379,0
0,0,0.04,0
4,0,0.04,0
1,1,0.04,0.000973388
3,1,0.04,0.000973388
2,2,0.04,0.001946776
1,3,0.04,0.000973388
3,3,0.04,0.000973388
0,4,0.04,0
4,4,0.04,0
0,0,0.045,0
4,0,0.045,0
1,1,0.045,0.001095062
3,1,0.045,0.001095062
2,2,0.045,0.002190123
1,3,0.045,0.001095062
3,3,0.045,0.001095062
0,4,0.045,0
4,4,0.045,0
0,0,0.05,0
4,0,0.05,0
1,1,0.05,0.0012165
3,1,0.05,0.0012165
2,2,0.05,0.002433
1,3,0.05,0.0012165
3,3,0.05,0.0012165
0,4,0.05,0
4,4,0.05,0
0,0,0.06,0
4,0,0.06,0
1,1,0.06,0.001460082
3,1,0.06,0.001460082
2,2,0.06,0.002920164
1,3,0.06,0.001460082
3,3,0.06,0.001460082
0,4,0.06,0
4,4,0.06,0
0,0,0.075,0
4,0,0.075,0
1,1,0.075,0.001825
3,1,0.075,0.001825
2,2,0.075,0.00365
1,3,0.075,0.001825
3,3,0.075,0.001825
0,4,0.075,0
4,4,0.075,0
0,0,0.08,0
4,0,0.08,0
1,1,0.08,0.001946776
3,1,0.08,0.001946776
2,2,0.08,0.003893552
1,3,0.08,0.001946776
3,3,0.08,0.001946776
0,4,0.08,0
4,4,0.08,0
0,0,0.09,0
4,0,0.09,0
1,1,0.09,0.002190123
3,1,0.09,0.002190123
2,2,0.09,0.004380246
1,3,0.09,0.002190123
3,3,0.09,0.002190123
0,4,0.09,0
4,4,0.09,0
0,0,0.1,0
4,0,0.1,0
1,1,0.1,0.0024335
3,1,0.1,0.0024335
2,2,0.1,0.004867
1,3,0.1,0.0024335
3,3,0.1,0.0024335
0,4,0.1,0
4,4,0.1,0
0,0,0.11,0
4,0,0.11,0
1,1,0.11,0.002676817
3,1,0.11,0.002676817
2,2,0.11,0.005353634
1,3,0.11,0.002676817
3,3,0.11,0.002676817
0,4,0.11,0
4,4,0.11,0
0,0,0.12,0
4,0,0.12,0
1,1,0.12,0.002920164
3,1,0.12,0.002920164
2,2,0.12,0.005840328
1,3,0.12,0.002920164
3,3,0.12,0.002920164
0,4,0.12,0
4,4,0.12,0
0,0,0.13,0
4,0,0.13,0
1,1,0.13,0.003163511
3,1,0.13,0.003163511
2,2,0.13,0.006327022
1,3,0.13,0.003163511
3,3,0.13,0.003163511
0,4,0.13,0
4,4,0.13,0
0,0,0.14,0
4,0,0.14,0
1,1,0.14,0.003406858
3,1,0.14,0.003406858
2,2,0.14,0.006813716
1,3,0.14,0.003406858
3,3,0.14,0.003406858
0,4,0.14,0
4,4,0.14,0
0,0,0.15,0
4,0,0.15,0
1,1,0.15,0.003650205
3,1,0.15,0.003650205
2,2,0.15,0.00730041
1,3,0.15,0.003650205
3,3,0.15,0.003650205
0,4,0.15,0
4,4,0.15,0
0,0,0.2,0
4,0,0.2,0
1,1,0.2,0.004867
3,1,0.2,0.004867
2,2,0.2,0.009734
1,3,0.2,0.004867
3,3,0.2,0.004867
0,4,0.2,0
4,4,0.2,0
0,0,0.25,0
4,0,0.25,0
1,1,0.25,0.006085
3,1,0.25,0.006085
2,2,0.25,0.01217
1,3,0.25,0.006085
3,3,0.25,0.006085
0,4,0.25,0
4,4,0.25,0
0,0,0.3,0
4,0,0.3,0
1,1,0.3,0.0073
3,1,0.3,0.0073
2,2,0.3,0.0146
1,3,0.3,0.0073
3,3,0.3,0.0073
0,4,0.3,0
4,4,0.3,0
0,0,0.35,0
4,0,0.35,0
1,1,0.35,0.0085
3,1,0.35,0.0085
2,2,0.35,0.017
1,3,0.35,0.0085
3,3,0.35,0.0085
0,4,0.35,0
4,4,0.35,0
0,0,0.4,0
4,0,0.4,0
1,1,0.4,0.009735
3,1,0.4,0.009735
2,2,0.4,0.01947
1,3,0.4,0.009735
3,3,0.4,0.009735
0,4,0.4,0
4,4,0.4,0
